Time_Step,source,target
13,13,12
13,13,14
13,14,13
13,14,15
13,15,14
13,15,16
13,16,15
13,15,18
13,18,15
13,15,20
13,20,15
13,15,23
13,23,15
13,16,17
13,17,16
13,16,26
13,26,16
13,20,21
13,21,20
13,21,22
13,22,21
13,22,23
13,23,22
13,22,35
13,35,22
13,24,25
13,25,24
13,25,26
13,26,25
13,25,27
13,27,25
13,25,28
13,28,25
13,27,28
13,28,27
13,1,29
13,29,1
13,5,30
13,30,5
13,9,31
13,31,9
13,11,10
13,10,11
13,11,12
13,12,11
13,18,19
13,19,18
13,18,32
13,32,18
13,19,33
13,33,19
13,21,34
13,34,21
13,24,36
13,36,24
13,28,37
13,37,28
14,0,1
14,1,0
14,0,38
14,38,0
14,1,2
14,2,1
14,1,24
14,24,1
14,2,3
14,3,2
14,2,17
14,17,2
14,3,4
14,4,3
14,3,13
14,13,3
14,4,5
14,5,4
14,4,7
14,7,4
14,5,6
14,6,5
14,5,10
14,10,5
14,6,7
14,7,6
14,7,8
14,8,7
14,8,38
14,38,8
14,9,10
14,10,9
14,9,12
14,12,9
14,12,13
14,13,12
14,13,14
14,14,13
14,14,15
14,15,14
14,15,16
14,16,15
14,15,18
14,18,15
14,15,20
14,20,15
14,15,23
14,23,15
14,16,17
14,17,16
14,16,26
14,26,16
14,20,21
14,21,20
14,21,22
14,22,21
14,22,23
14,23,22
14,22,35
14,35,22
14,24,25
14,25,24
14,25,26
14,26,25
14,25,27
14,27,25
14,25,28
14,28,25
14,27,28
14,28,27
14,1,29
14,29,1
14,5,30
14,30,5
14,9,31
14,31,9
14,11,10
14,10,11
14,11,12
14,12,11
14,18,19
14,19,18
14,18,32
14,32,18
14,19,33
14,33,19
14,21,34
14,34,21
14,24,36
14,36,24
14,28,37
14,37,28
15,0,1
15,1,0
15,0,38
15,38,0
15,1,2
15,2,1
15,1,24
15,24,1
15,2,3
15,3,2
15,2,17
15,17,2
15,3,4
15,4,3
15,3,13
15,13,3
15,4,5
15,5,4
15,4,7
15,7,4
15,5,6
15,6,5
15,5,10
15,10,5
15,6,7
15,7,6
15,7,8
15,8,7
15,8,38
15,38,8
15,9,10
15,10,9
15,9,12
15,12,9
15,12,13
15,13,12
15,13,14
15,14,13
15,14,15
15,15,14
15,15,16
15,16,15
15,15,18
15,18,15
15,15,20
15,20,15
15,15,23
15,23,15
15,16,17
15,17,16
15,16,26
15,26,16
15,20,21
15,21,20
15,21,22
15,22,21
15,22,23
15,23,22
15,22,35
15,35,22
15,24,25
15,25,24
15,25,26
15,26,25
15,25,27
15,27,25
15,25,28
15,28,25
15,27,28
15,28,27
15,1,29
15,29,1
15,5,30
15,30,5
15,9,31
15,31,9
15,11,10
15,10,11
15,11,12
15,12,11
15,18,19
15,19,18
15,18,32
15,32,18
15,19,33
15,33,19
15,21,34
15,34,21
15,24,36
15,36,24
15,28,37
15,37,28
16,0,1
16,1,0
16,0,38
16,38,0
16,1,2
16,2,1
16,1,24
16,24,1
16,2,3
16,3,2
16,2,17
16,17,2
16,3,4
16,4,3
16,3,13
16,13,3
16,4,5
16,5,4
16,4,7
16,7,4
16,5,6
16,6,5
16,5,10
16,10,5
16,6,7
16,7,6
16,7,8
16,8,7
16,8,38
16,38,8
16,9,10
16,10,9
16,9,12
16,12,9
16,12,13
16,13,12
16,13,14
16,14,13
16,14,15
16,15,14
16,15,16
16,16,15
16,15,18
16,18,15
16,15,20
16,20,15
16,15,23
16,23,15
16,16,17
16,17,16
16,16,26
16,26,16
16,20,21
16,21,20
16,21,22
16,22,21
16,22,23
16,23,22
16,22,35
16,35,22
16,24,25
16,25,24
16,25,26
16,26,25
16,25,27
16,27,25
16,25,28
16,28,25
16,27,28
16,28,27
16,1,29
16,29,1
16,5,30
16,30,5
16,9,31
16,31,9
16,11,10
16,10,11
16,11,12
16,12,11
16,18,19
16,19,18
16,18,32
16,32,18
16,19,33
16,33,19
16,21,34
16,34,21
16,24,36
16,36,24
16,28,37
16,37,28
17,0,1
17,1,0
17,0,38
17,38,0
17,1,2
17,2,1
17,1,24
17,24,1
17,2,3
17,3,2
17,2,17
17,17,2
17,3,4
17,4,3
17,3,13
17,13,3
17,4,5
17,5,4
17,4,7
17,7,4
17,5,6
17,6,5
17,5,10
17,10,5
17,6,7
17,7,6
17,7,8
17,8,7
17,8,38
17,38,8
17,9,10
17,10,9
17,9,12
17,12,9
17,12,13
17,13,12
17,13,14
17,14,13
17,14,15
17,15,14
17,15,16
17,16,15
17,15,18
17,18,15
17,15,20
17,20,15
17,15,23
17,23,15
17,16,17
17,17,16
17,16,26
17,26,16
17,20,21
17,21,20
17,21,22
17,22,21
17,22,23
17,23,22
17,22,35
17,35,22
17,24,25
17,25,24
17,25,26
17,26,25
17,25,27
17,27,25
17,25,28
17,28,25
17,27,28
17,28,27
17,1,29
17,29,1
17,5,30
17,30,5
17,9,31
17,31,9
17,11,10
17,10,11
17,11,12
17,12,11
17,18,19
17,19,18
17,18,32
17,32,18
17,19,33
17,33,19
17,21,34
17,34,21
17,24,36
17,36,24
17,28,37
17,37,28
18,0,1
18,1,0
18,0,38
18,38,0
18,1,2
18,2,1
18,1,24
18,24,1
18,2,3
18,3,2
18,2,17
18,17,2
18,3,4
18,4,3
18,3,13
18,13,3
18,4,5
18,5,4
18,4,7
18,7,4
18,5,6
18,6,5
18,5,10
18,10,5
18,6,7
18,7,6
18,7,8
18,8,7
18,8,38
18,38,8
18,9,10
18,10,9
18,9,12
18,12,9
18,12,13
18,13,12
18,13,14
18,14,13
18,14,15
18,15,14
18,15,16
18,16,15
18,15,18
18,18,15
18,15,20
18,20,15
18,15,23
18,23,15
18,16,17
18,17,16
18,16,26
18,26,16
18,20,21
18,21,20
18,21,22
18,22,21
18,22,23
18,23,22
18,22,35
18,35,22
18,24,25
18,25,24
18,25,26
18,26,25
18,25,27
18,27,25
18,25,28
18,28,25
18,27,28
18,28,27
18,1,29
18,29,1
18,5,30
18,30,5
18,9,31
18,31,9
18,11,10
18,10,11
18,11,12
18,12,11
18,18,19
18,19,18
18,18,32
18,32,18
18,19,33
18,33,19
18,21,34
18,34,21
18,24,36
18,36,24
18,28,37
18,37,28
19,0,1
19,1,0
19,0,38
19,38,0
19,1,2
19,2,1
19,1,24
19,24,1
19,2,3
19,3,2
19,2,17
19,17,2
19,3,4
19,4,3
19,3,13
19,13,3
19,4,5
19,5,4
19,4,7
19,7,4
19,5,6
19,6,5
19,5,10
19,10,5
19,6,7
19,7,6
19,7,8
19,8,7
19,8,38
19,38,8
19,9,10
19,10,9
19,9,12
19,12,9
19,12,13
19,13,12
19,13,14
19,14,13
19,14,15
19,15,14
19,15,16
19,16,15
19,15,18
19,18,15
19,15,20
19,20,15
19,15,23
19,23,15
19,16,17
19,17,16
19,16,26
19,26,16
19,20,21
19,21,20
19,21,22
19,22,21
19,22,23
19,23,22
19,22,35
19,35,22
19,24,25
19,25,24
19,25,26
19,26,25
19,25,27
19,27,25
19,25,28
19,28,25
19,27,28
19,28,27
19,1,29
19,29,1
19,5,30
19,30,5
19,9,31
19,31,9
19,11,10
19,10,11
19,11,12
19,12,11
19,18,19
19,19,18
19,18,32
19,32,18
19,19,33
19,33,19
19,21,34
19,34,21
19,24,36
19,36,24
19,28,37
19,37,28
20,0,1
20,1,0
20,0,38
20,38,0
20,1,2
20,2,1
20,1,24
20,24,1
20,2,3
20,3,2
20,2,17
20,17,2
20,3,4
20,4,3
20,3,13
20,13,3
20,4,5
20,5,4
20,4,7
20,7,4
20,5,6
20,6,5
20,5,10
20,10,5
20,6,7
20,7,6
20,7,8
20,8,7
20,8,38
20,38,8
20,9,10
20,10,9
20,9,12
20,12,9
20,12,13
20,13,12
20,13,14
20,14,13
20,14,15
20,15,14
20,15,16
20,16,15
20,15,18
20,18,15
20,15,20
20,20,15
20,15,23
20,23,15
20,16,17
20,17,16
20,16,26
20,26,16
20,20,21
20,21,20
20,21,22
20,22,21
20,22,23
20,23,22
20,22,35
20,35,22
20,24,25
20,25,24
20,25,27
20,27,25
20,25,28
20,28,25
20,27,28
20,28,27
20,1,29
20,29,1
20,5,30
20,30,5
20,9,31
20,31,9
20,11,10
20,10,11
20,11,12
20,12,11
20,18,19
20,19,18
20,18,32
20,32,18
20,19,33
20,33,19
20,21,34
20,34,21
20,24,36
20,36,24
20,28,37
20,37,28
21,0,1
21,1,0
21,0,38
21,38,0
21,1,2
21,2,1
21,1,24
21,24,1
21,2,3
21,3,2
21,2,17
21,17,2
21,3,4
21,4,3
21,3,13
21,13,3
21,4,5
21,5,4
21,4,7
21,7,4
21,5,6
21,6,5
21,5,10
21,10,5
21,6,7
21,7,6
21,7,8
21,8,7
21,8,38
21,38,8
21,9,10
21,10,9
21,9,12
21,12,9
21,12,13
21,13,12
21,13,14
21,14,13
21,14,15
21,15,14
21,15,16
21,16,15
21,15,18
21,18,15
21,15,20
21,20,15
21,15,23
21,23,15
21,16,17
21,17,16
21,16,26
21,26,16
21,20,21
21,21,20
21,21,22
21,22,21
21,22,23
21,23,22
21,22,35
21,35,22
21,24,25
21,25,24
21,25,26
21,26,25
21,25,27
21,27,25
21,25,28
21,28,25
21,27,28
21,28,27
21,1,29
21,29,1
21,5,30
21,30,5
21,9,31
21,31,9
21,11,10
21,10,11
21,11,12
21,12,11
21,18,19
21,19,18
21,18,32
21,32,18
21,19,33
21,33,19
21,21,34
21,34,21
21,24,36
21,36,24
21,28,37
21,37,28
22,0,1
22,1,0
22,0,38
22,38,0
22,1,2
22,2,1
22,1,24
22,24,1
22,2,3
22,3,2
22,2,17
22,17,2
22,3,4
22,4,3
22,3,13
22,13,3
22,4,5
22,5,4
22,4,7
22,7,4
22,5,6
22,6,5
22,5,10
22,10,5
22,6,7
22,7,6
22,7,8
22,8,7
22,8,38
22,38,8
22,9,10
22,10,9
22,9,12
22,12,9
22,12,13
22,13,12
22,13,14
22,14,13
22,14,15
22,15,14
22,15,16
22,16,15
22,15,18
22,18,15
22,15,20
22,20,15
22,15,23
22,23,15
22,16,17
22,17,16
22,16,26
22,26,16
22,20,21
22,21,20
22,21,22
22,22,21
22,22,23
22,23,22
22,22,35
22,35,22
22,24,25
22,25,24
22,25,26
22,26,25
22,25,27
22,27,25
22,25,28
22,28,25
22,27,28
22,28,27
22,1,29
22,29,1
22,5,30
22,30,5
22,9,31
22,31,9
22,11,10
22,10,11
22,11,12
22,12,11
22,18,19
22,19,18
22,18,32
22,32,18
22,19,33
22,33,19
22,21,34
22,34,21
22,24,36
22,36,24
22,28,37
22,37,28
23,0,1
23,1,0
23,0,38
23,38,0
23,1,2
23,2,1
23,1,24
23,24,1
23,2,17
23,17,2
23,3,4
23,4,3
23,3,13
23,13,3
23,4,5
23,5,4
23,4,7
23,7,4
23,5,6
23,6,5
23,5,10
23,10,5
23,6,7
23,7,6
23,7,8
23,8,7
23,8,38
23,38,8
23,9,10
23,10,9
23,9,12
23,12,9
23,12,13
23,13,12
23,13,14
23,14,13
23,14,15
23,15,14
23,15,16
23,16,15
23,15,18
23,18,15
23,15,20
23,20,15
23,15,23
23,23,15
23,16,17
23,17,16
23,16,26
23,26,16
23,20,21
23,21,20
23,21,22
23,22,21
23,22,23
23,23,22
23,22,35
23,35,22
23,24,25
23,25,24
23,25,26
23,26,25
23,25,27
23,27,25
23,25,28
23,28,25
23,27,28
23,28,27
23,1,29
23,29,1
23,5,30
23,30,5
23,9,31
23,31,9
23,11,10
23,10,11
23,11,12
23,12,11
23,18,19
23,19,18
23,18,32
23,32,18
23,19,33
23,33,19
23,21,34
23,34,21
23,24,36
23,36,24
23,28,37
23,37,28
24,0,1
24,1,0
24,0,38
24,38,0
24,1,2
24,2,1
24,1,24
24,24,1
24,2,3
24,3,2
24,2,17
24,17,2
24,3,4
24,4,3
24,3,13
24,13,3
24,4,5
24,5,4
24,4,7
24,7,4
24,5,6
24,6,5
24,5,10
24,10,5
24,6,7
24,7,6
24,7,8
24,8,7
24,8,38
24,38,8
24,9,10
24,10,9
24,9,12
24,12,9
24,12,13
24,13,12
24,13,14
24,14,13
24,14,15
24,15,14
24,15,16
24,16,15
24,15,18
24,18,15
24,15,20
24,20,15
24,15,23
24,23,15
24,16,17
24,17,16
24,16,26
24,26,16
24,20,21
24,21,20
24,21,22
24,22,21
24,22,23
24,23,22
24,22,35
24,35,22
24,24,25
24,25,24
24,25,26
24,26,25
24,25,27
24,27,25
24,25,28
24,28,25
24,27,28
24,28,27
24,1,29
24,29,1
24,5,30
24,30,5
24,9,31
24,31,9
24,11,10
24,10,11
24,11,12
24,12,11
24,18,19
24,19,18
24,18,32
24,32,18
24,19,33
24,33,19
24,21,34
24,34,21
24,24,36
24,36,24
24,28,37
24,37,28
25,0,1
25,1,0
25,0,38
25,38,0
25,1,2
25,2,1
25,1,24
25,24,1
25,2,3
25,3,2
25,2,17
25,17,2
25,3,4
25,4,3
25,3,13
25,13,3
25,4,5
25,5,4
25,4,7
25,7,4
25,5,6
25,6,5
25,5,10
25,10,5
25,6,7
25,7,6
25,7,8
25,8,7
25,8,38
25,38,8
25,9,10
25,10,9
25,9,12
25,12,9
25,12,13
25,13,12
